sample_id,seed,trial,result,is_head,cumulative_heads,relative_frequency_heads
sample_1,702,1,H,True,1,1.0
sample_1,702,2,H,True,2,1.0
sample_1,702,3,T,False,2,0.6666666666666666
sample_1,702,4,T,False,2,0.5
sample_1,702,5,T,False,2,0.4
sample_1,702,6,H,True,3,0.5
sample_1,702,7,H,True,4,0.5714285714285714
sample_1,702,8,H,True,5,0.625
sample_1,702,9,T,False,5,0.5555555555555556
sample_1,702,10,H,True,6,0.6
sample_1,702,11,T,False,6,0.5454545454545454
sample_1,702,12,H,True,7,0.5833333333333334
sample_1,702,13,H,True,8,0.6153846153846154
sample_1,702,14,H,True,9,0.6428571428571429
sample_1,702,15,H,True,10,0.6666666666666666
sample_1,702,16,T,False,10,0.625
sample_1,702,17,H,True,11,0.6470588235294118
sample_1,702,18,T,False,11,0.6111111111111112
sample_1,702,19,H,True,12,0.631578947368421
sample_1,702,20,H,True,13,0.65
sample_1,702,21,H,True,14,0.6666666666666666
sample_1,702,22,T,False,14,0.6363636363636364
sample_1,702,23,T,False,14,0.6086956521739131
sample_1,702,24,T,False,14,0.5833333333333334
sample_1,702,25,H,True,15,0.6
sample_1,702,26,H,True,16,0.6153846153846154
sample_1,702,27,T,False,16,0.5925925925925926
sample_1,702,28,H,True,17,0.6071428571428571
sample_1,702,29,H,True,18,0.6206896551724138
sample_1,702,30,H,True,19,0.6333333333333333
sample_1,702,31,H,True,20,0.6451612903225806
sample_1,702,32,T,False,20,0.625
sample_1,702,33,T,False,20,0.6060606060606061
sample_1,702,34,H,True,21,0.6176470588235294
sample_1,702,35,T,False,21,0.6
sample_1,702,36,T,False,21,0.5833333333333334
sample_1,702,37,T,False,21,0.5675675675675675
sample_1,702,38,T,False,21,0.5526315789473685
sample_1,702,39,T,False,21,0.5384615384615384
sample_1,702,40,T,False,21,0.525
sample_1,702,41,H,True,22,0.5365853658536586
sample_1,702,42,H,True,23,0.5476190476190477
sample_1,702,43,H,True,24,0.5581395348837209
sample_1,702,44,T,False,24,0.5454545454545454
sample_1,702,45,T,False,24,0.5333333333333333
sample_1,702,46,T,False,24,0.5217391304347826
sample_1,702,47,H,True,25,0.5319148936170213
sample_1,702,48,T,False,25,0.5208333333333334
sample_1,702,49,H,True,26,0.5306122448979592
sample_1,702,50,H,True,27,0.54
sample_1,702,51,H,True,28,0.5490196078431373
sample_1,702,52,H,True,29,0.5576923076923077
sample_1,702,53,T,False,29,0.5471698113207547
sample_1,702,54,H,True,30,0.5555555555555556
sample_1,702,55,T,False,30,0.5454545454545454
sample_1,702,56,H,True,31,0.5535714285714286
sample_1,702,57,H,True,32,0.5614035087719298
sample_1,702,58,H,True,33,0.5689655172413793
sample_1,702,59,T,False,33,0.559322033898305
sample_1,702,60,H,True,34,0.5666666666666667
sample_1,702,61,H,True,35,0.5737704918032787
sample_1,702,62,T,False,35,0.5645161290322581
sample_1,702,63,H,True,36,0.5714285714285714
sample_1,702,64,T,False,36,0.5625
sample_1,702,65,T,False,36,0.5538461538461539
sample_1,702,66,H,True,37,0.5606060606060606
