sample_id,seed,trial,roll,is_even,is_at_least_5
sample_1,701,1,6,True,True
sample_1,701,2,6,True,True
sample_1,701,3,5,False,True
sample_1,701,4,6,True,True
sample_1,701,5,6,True,True
sample_1,701,6,3,False,False
sample_1,701,7,1,False,False
sample_1,701,8,3,False,False
sample_1,701,9,6,True,True
sample_1,701,10,3,False,False
sample_1,701,11,6,True,True
sample_1,701,12,4,True,False
sample_1,701,13,4,True,False
sample_1,701,14,4,True,False
sample_1,701,15,3,False,False
sample_1,701,16,5,False,True
sample_1,701,17,3,False,False
sample_1,701,18,4,True,False
sample_1,701,19,3,False,False
sample_1,701,20,1,False,False
sample_1,701,21,1,False,False
sample_1,701,22,4,True,False
sample_1,701,23,5,False,True
sample_1,701,24,1,False,False
sample_1,701,25,6,True,True
sample_1,701,26,4,True,False
sample_1,701,27,3,False,False
sample_1,701,28,5,False,True
sample_1,701,29,3,False,False
sample_1,701,30,3,False,False
sample_1,701,31,4,True,False
sample_1,701,32,5,False,True
sample_1,701,33,3,False,False
sample_1,701,34,1,False,False
sample_1,701,35,6,True,True
sample_1,701,36,3,False,False
sample_1,701,37,1,False,False
sample_1,701,38,1,False,False
sample_1,701,39,6,True,True
sample_1,701,40,6,True,True
sample_1,701,41,6,True,True
sample_1,701,42,3,False,False
sample_1,701,43,2,True,False
sample_1,701,44,2,True,False
sample_1,701,45,3,False,False
sample_1,701,46,4,True,False
sample_1,701,47,6,True,True
sample_1,701,48,5,False,True
sample_1,701,49,4,True,False
sample_1,701,50,5,False,True
sample_1,701,51,5,False,True
sample_1,701,52,5,False,True
sample_1,701,53,6,True,True
sample_1,701,54,5,False,True
sample_1,701,55,4,True,False
sample_1,701,56,4,True,False
sample_1,701,57,2,True,False
sample_1,701,58,2,True,False
sample_1,701,59,5,False,True
sample_1,701,60,5,False,True
sample_1,701,61,5,False,True
sample_1,701,62,5,False,True
sample_1,701,63,1,False,False
sample_1,701,64,5,False,True
sample_1,701,65,2,True,False
sample_1,701,66,4,True,False
sample_1,701,67,6,True,True
sample_1,701,68,5,False,True
sample_1,701,69,6,True,True
sample_1,701,70,1,False,False
sample_1,701,71,2,True,False
sample_1,701,72,5,False,True
sample_1,701,73,2,True,False
sample_1,701,74,1,False,False
sample_1,701,75,5,False,True
sample_1,701,76,5,False,True
sample_1,701,77,1,False,False
sample_1,701,78,5,False,True
sample_1,701,79,2,True,False
sample_1,701,80,2,True,False
sample_1,701,81,2,True,False
